アメリカ合衆国大統領,アメリカ大統領,米大統領,米国大統領
アメリカ軍,米軍
予備選挙,予備選
住民基本台帳,住基
全国人民代表大会,全人代
公正取引委員会,公取委,公取
公明党,公明
日本共産党,共産党,共産
北海道警察,道警
区議会議員,区会議員,区議
区議会議員選挙,区会議員選挙,区議選
区長選挙,区長選
厚生労働大臣,厚労相
厚生労働省,厚労省
参議院,参院
参議院議員通常選挙,参議院選挙,参議院選,参院選挙,参院選
国土交通大臣,国交相
国土交通省,国交省,建設省
市議会議員,市会議員,市議
市長選挙,市長選
当選確実,当確
政情,政治情勢
文部科学大臣,文科相
文部科学省,文科省,文部省
村議会議員,村会議員,村議
村議会議員選挙,村会議員選挙,村議選
村長選挙,村長選
東京都庁,都庁
東京都知事選挙,東京都知事選,都知事選挙,都知事選
民主党,民主
民進党,民進
海上保安庁,JCG,保安庁,海保庁,海保
外務大臣,外務相,外相
環境大臣,環境相
財務大臣,財務相,財相
総務大臣,総務相
復興大臣,復興相
防衛大臣,防衛相
海上自衛隊,海自
町議会議員,町会議員,町議
町議会議員選挙,町会議員選挙,町議選
町長選挙,町長選
県議会議員,県会議員,県議
県議会議員選挙,県会議員選挙,県議選
知事選挙,知事選
社会民主党,社民党,社民
科学技術庁,科技庁
航空自衛隊,空自
経済産業大臣,経産相
経済産業省,経産省
自由民主党,自民党,自民
衆議院,衆院
衆議院議員総選挙,衆議院選挙,衆議院選,衆院選挙,衆院選
行政改革,行革
補欠選挙,補選
議員連盟,議連
軍備拡張,軍拡
軍備縮小,軍縮
農業政策,農政
農林水産大臣,農水相
農林水産省,農水省
都道府県警察,都道府県警
閣僚懇談会,閣僚懇
陸上自衛隊,陸自
地域主義,地方主義,リージョナリズム,regionalism,ローカリズム,localism
クーデター,クーデタ,coup d'État
独裁政治,専制政治,オートクラシー,autocracy,デスポティズム,despotism
ゲリマンダー,gerrymander
ハルノート,ハル・ノート,Hull Note,Hull-Note
ホワイトハウス,ホワイト・ハウス,White House
チェックアンドバランス,チェック・アンド・バランス,checks and balances
キャンプデービッド,Camp David
ドッジライン,Dodge line
パブリックアクセプタンス,public acceptance,PA
マーシャルプラン,Marshall Plan
クラウディングアウト,crowding out
政権公約,マニフェスト,manifesto
プライマリーバランス,primary balance,基礎的財政収支
コンミューン,コンミュン,コミューン,commune
軍隊,アーミー,army
潜水艦,サブマリン,submarine
ニューフロンティア,New Frontier
空軍,エアフォース,air force
陸軍,アーミー,army
