ウィキペディア,Wikipedia
シネマスコープ,CinemaScope,シネスコ
デコレーションメール,デコメール,デコメ
パワーポイント,PowerPoint,パワポ
フリーペーパー,free paper,フリペ
プレイステーション,playstation,プレステ
ポラロイドカメラ,ポラロイド,ポーラロイド,Polaroid,ポラ
ヤフオク!,Yahoo!オークション
リクルートナビ,リクナビ
キャタピラー,キャタピラ,カタピラー,カタピラ,caterpillar
ガーデンパーティー,garden party
イーサネット,イーサーネット,Ethernet
アルファロメオ,Alfa Romeo
コカコーラ,Coca-Cola
ジッポー,ジッポ,Zippo
セレロン,Celeron
ネイチャー,Nature
フェンディ,Fendi
ボーダフォン,Vodafone
メルセデスベンツ,Mercedes-Benz
アイポッド,iPod
エクスプローラー,エクスプローラ,explorer
フィールドアスレチック,Field Athletic
アウトルック,outlook
クレパス,Craypas
ペイジー,Pay-easy
イージーペイメント,easy payment
グラブ,grab
クロロマイセチン,Chloromycetin
デコラ,Decola
ベロナール,Veronal
ライノタイプ,Linotype
エムエスドス,MS-DOS
イズベスチヤ,Izvestiya
ハモンドオルガン,ハモンド・オルガン,Hammond organ
ギネスブック,ギネス・ブック,Guinness Book
ニューヨークタイムズ,ニューヨーク・タイムズ,New York Times
ロールスロイス,ロールス・ロイス,Rolls-Royce
カーリット,Carlit
コーライト,Coalite
サークライン,Circline
タンガロイ,Tungalloy
テトラパック,Tetra Pak
ルミナール,Luminal
アイチューンズストア,iTunes Store,iTS
ジャパンタイムズ,Japan Times
デルフトブルー,Delft blue
アリアンロケット,Ariane rocket
オープンワーク,OpenWork
ゴールデンバット,Golden Bat
スナップドラゴン,snapdragon
チェリオ,cheerio
ハバハバ,hubba hubba
パワーショット,power shot
パワードライブ,power drive
フォーナイン,four nine
ベビースター,baby star
ペディグリー,pedigree
ホームテレホン,home telephone
ボトルグリーン,bottle green
マジックアイ,magic eye
マジックドア,magic door
メディシンボール,medicine ball
ライトマン,light man
ラインキーパー,line keeper
リブラス,rib lath
レーダースコープ,radarscope
ボーカロイド,VOCALOID,ボカロ
テプラ,tepra
ケータリング,catering
フォトプレーヤー,フォトプレイヤー,photoplayer
トラベラーズチェック,traveler's check
タッパーウエア,タッパーウェア,タッパウエア,タッパウェア,Tupperware
ホットペーパー,hot paper
アクアラング,Aqualung
オセロ,Othello
テクニカラー,Technicolor
テトロン,Tetoron
ヒロポン,Philopon
パッケージツアー,package tour
ベークライト,bakelite
テレタイプ,Teletype
エレクトーン,Electone
ゴアテックス,GORE-TEX
セメダイン,Cemedine
テフロン,Teflon
ネオプレン,Neoprene
バーバリー,Burberry
ビオフェルミン,Biofermin
ウーファー,woofer
バスツアー,bus tour
ユニックス,UNIX
ゼムクリップ,Gem clip
ブリタニカ,Britannica
ニューズウィーク,Newsweek
プラウダ,Pravda
ルモンド,Le Monde
コンスタンタン,constantan
カーボランダム,Carborundum
カルモチン,Calmotin
コーク,Coke
セスナ,Cessna
タカジアスターゼ,Taka-Diastase
フレオン,Freon
ブナ,Buna
国税電子申告・納税システム,e-Tax
地方税ポータルシステム,eLTAX
シヤチハタ,シャチハタ,スタンプ印
NUP,Named User Plus
ASFU,Application Specific Full Use
VMWare,VM
PVU,Processor Value Unit
WAS,WebSphere Application Server
Oracle Database 12c,Oracle 12c
